iter	Logloss
0	0.6159312882
1	0.5610510526
2	0.5134440733
3	0.4788754956
4	0.4498089287
5	0.4298240171
6	0.4046178354
7	0.3913851166
8	0.3741641371
9	0.3639887682
10	0.3541181234
11	0.3417921443
12	0.329293544
13	0.3181890124
14	0.3107296366
15	0.3049286941
16	0.2985239567
17	0.2912791857
18	0.2869908199
19	0.276500485
20	0.2713473942
21	0.2654604151
22	0.2605520158
23	0.2577605503
24	0.2525955181
25	0.2464380351
26	0.2426345389
27	0.2398328297
28	0.2356755998
29	0.2327632113
30	0.2297061546
31	0.2263547157
32	0.2225448289
33	0.2194738153
34	0.2161392628
35	0.2133609425
36	0.2118823292
37	0.2090020235
38	0.2059141197
39	0.2045649887
40	0.1999833109
41	0.1973257952
42	0.194896938
43	0.1929227818
44	0.1897699322
45	0.1879746919
46	0.1845089229
47	0.1822326839
48	0.1796743165
49	0.1774592961
50	0.1752567912
51	0.1736463883
52	0.1713350101
53	0.1694337427
54	0.1676147316
55	0.1649230939
56	0.1639971039
57	0.1607660663
58	0.1597212204
59	0.1579877368
60	0.1558734213
61	0.153486793
62	0.1510893131
63	0.1487050072
64	0.147121227
65	0.1464435418
66	0.1445374429
67	0.1421252921
68	0.1395094983
69	0.1375297563
70	0.136394463
71	0.1341208674
72	0.1321469334
73	0.1296963545
74	0.1279778776
75	0.1269970876
76	0.125711926
77	0.1243942979
78	0.1232484247
79	0.1217338364
80	0.1202941062
81	0.1192524799
82	0.1182916477
83	0.1168073369
84	0.1158516479
85	0.1150409802
86	0.1134503087
87	0.1127755139
88	0.1117885756
89	0.1100659916
90	0.1089500568
91	0.1082591645
92	0.1068541853
93	0.1059077223
94	0.1052819476
95	0.1051919924
96	0.1035841554
97	0.1031008717
98	0.1025322557
99	0.1012236367
