iter	Passed	Remaining
0	6	323
1	14	357
2	21	341
3	29	335
4	37	335
5	44	329
6	51	319
7	60	318
8	67	309
9	74	299
10	82	293
11	85	269
12	92	261
13	98	254
14	101	237
15	108	229
16	114	223
17	121	216
18	129	211
19	139	208
20	146	202
21	158	202
22	168	197
23	179	193
24	187	187
25	195	180
26	200	170
27	208	163
28	216	156
29	224	149
30	233	143
31	237	133
32	244	126
33	252	119
34	260	111
35	269	104
36	277	97
37	285	90
38	292	82
39	299	74
40	307	67
41	315	60
42	322	52
43	330	45
44	338	37
45	345	30
46	353	22
47	361	15
48	368	7
49	376	0
