iter	Passed	Remaining
0	3	3266
1	6	3387
2	9	3161
3	12	3170
4	16	3228
5	19	3232
6	21	3094
7	25	3107
8	28	3115
9	31	3165
10	35	3175
11	38	3179
12	41	3185
13	44	3159
14	48	3157
15	51	3143
16	54	3134
17	57	3121
18	60	3112
19	63	3115
20	66	3105
21	69	3096
22	72	3091
23	75	3084
24	78	3045
25	81	3045
26	84	3051
27	88	3059
28	91	3070
29	95	3083
30	98	3086
31	102	3088
32	105	3086
33	108	3085
34	112	3088
35	115	3086
36	118	3085
37	121	3075
38	124	3072
39	127	3071
40	130	3062
41	133	3054
42	136	3047
43	139	3040
44	142	3014
45	144	3007
46	148	3002
47	151	2995
48	154	2989
49	157	2984
50	160	2981
51	163	2974
52	166	2969
53	169	2963
54	172	2956
55	175	2954
56	178	2950
57	181	2947
58	184	2942
59	187	2936
60	190	2936
61	193	2931
62	196	2924
63	199	2921
64	202	2917
65	206	2917
66	209	2911
67	212	2906
68	215	2901
69	217	2883
70	219	2878
71	223	2878
72	225	2862
73	228	2857
74	231	2853
75	234	2849
76	237	2846
77	240	2842
78	243	2838
79	245	2823
80	248	2819
81	251	2814
82	254	2806
83	257	2802
84	259	2797
85	262	2794
86	265	2790
87	268	2787
88	272	2786
89	275	2783
90	278	2779
91	281	2775
92	284	2773
93	287	2770
94	290	2766
95	293	2762
96	296	2758
97	299	2754
98	302	2754
99	305	2751
100	308	2747
101	311	2745
102	314	2742
103	318	2741
104	321	2737
105	324	2733
106	327	2729
107	330	2725
108	333	2725
109	336	2723
110	339	2721
111	342	2718
112	345	2714
113	348	2711
114	351	2707
115	354	2703
116	356	2689
117	359	2685
118	362	2681
119	365	2680
120	368	2676
121	371	2672
122	374	2668
123	376	2661
124	379	2657
125	382	2655
126	385	2652
127	388	2649
128	391	2645
129	394	2642
130	398	2640
131	401	2638
132	404	2636
133	407	2634
134	410	2631
135	413	2629
136	416	2625
137	419	2622
138	422	2618
139	425	2614
140	428	2611
141	431	2609
142	434	2605
143	437	2602
144	440	2598
145	443	2595
146	446	2593
147	449	2590
148	452	2586
149	455	2583
150	458	2579
151	462	2577
152	464	2574
153	467	2570
154	471	2569
155	474	2566
156	477	2563
157	480	2560
158	483	2557
159	486	2554
160	489	2552
161	493	2550
162	496	2548
163	499	2546
164	502	2544
165	506	2543
166	510	2544
167	513	2541
168	516	2538
169	519	2534
170	522	2531
171	525	2528
172	528	2524
173	531	2521
174	534	2518
175	537	2514
176	540	2510
177	543	2507
178	546	2504
179	549	2501
180	552	2498
181	555	2494
182	558	2492
183	561	2488
184	564	2485
185	567	2481
186	570	2478
187	573	2475
188	576	2471
189	579	2468
190	582	2465
191	585	2461
192	587	2458
193	591	2456
194	594	2453
195	597	2449
196	598	2441
197	601	2437
198	605	2436
199	608	2432
200	611	2429
201	614	2426
202	617	2423
203	620	2421
204	623	2418
205	626	2414
206	629	2411
207	632	2408
208	635	2404
209	638	2401
210	641	2398
211	644	2394
212	647	2391
213	650	2388
214	653	2386
215	656	2383
216	659	2380
217	662	2377
218	665	2375
219	669	2373
220	672	2370
221	675	2367
222	678	2363
223	681	2360
224	684	2358
225	687	2354
226	690	2351
227	693	2348
228	696	2344
229	698	2339
230	702	2337
231	705	2334
232	708	2330
233	711	2327
234	714	2325
235	717	2324
236	720	2321
237	723	2317
238	727	2315
239	730	2312
240	733	2310
241	736	2307
242	739	2303
243	742	2300
244	745	2297
245	748	2294
246	751	2291
247	754	2288
248	757	2285
249	760	2281
250	763	2279
251	766	2276
252	769	2273
253	773	2270
254	776	2267
255	777	2260
256	781	2258
257	784	2255
258	787	2252
259	790	2249
260	792	2243
261	795	2239
262	798	2237
263	801	2233
264	804	2230
265	807	2227
266	810	2224
267	813	2221
268	816	2219
269	819	2216
270	822	2213
271	826	2211
272	829	2208
273	832	2205
274	835	2202
275	838	2199
276	841	2195
277	844	2193
278	847	2190
279	850	2187
280	853	2184
281	856	2181
282	859	2178
283	862	2175
284	865	2172
285	868	2168
286	871	2165
287	874	2162
288	878	2160
289	881	2157
290	884	2154
291	887	2150
292	890	2147
293	893	2145
294	896	2141
295	899	2138
296	902	2135
297	905	2132
298	908	2129
299	911	2126
300	914	2122
301	917	2119
302	919	2116
303	923	2113
304	926	2110
305	929	2107
306	932	2104
307	935	2101
308	938	2098
309	941	2095
310	944	2092
311	947	2088
312	950	2085
313	953	2082
314	956	2079
315	959	2076
316	962	2073
317	965	2070
318	968	2067
319	971	2064
320	974	2061
321	977	2058
322	980	2055
323	983	2052
324	987	2049
325	990	2047
326	993	2043
327	995	2040
328	998	2037
329	1001	2034
330	1004	2029
331	1007	2026
332	1010	2023
333	1013	2020
334	1016	2016
335	1019	2014
336	1022	2011
337	1025	2007
338	1028	2004
339	1031	2001
340	1034	1998
341	1036	1994
342	1039	1990
343	1042	1987
344	1045	1984
345	1048	1981
346	1051	1978
347	1054	1975
348	1057	1972
349	1061	1971
350	1064	1968
351	1067	1964
352	1070	1961
353	1073	1958
354	1076	1955
355	1079	1952
356	1082	1949
357	1086	1947
358	1089	1945
359	1092	1942
360	1095	1939
361	1098	1935
362	1101	1932
363	1104	1929
364	1107	1926
365	1110	1924
366	1113	1921
367	1116	1918
368	1119	1914
369	1122	1911
370	1125	1909
371	1128	1905
372	1131	1902
373	1134	1899
374	1137	1896
375	1141	1893
376	1144	1890
377	1147	1887
378	1150	1884
379	1153	1881
380	1156	1878
381	1159	1875
382	1162	1872
383	1165	1869
384	1168	1866
385	1171	1863
386	1173	1858
387	1176	1855
388	1179	1852
389	1182	1849
390	1185	1846
391	1188	1843
392	1191	1840
393	1194	1837
394	1197	1834
395	1200	1831
396	1203	1828
397	1206	1825
398	1209	1821
399	1212	1818
400	1215	1815
401	1218	1812
402	1221	1809
403	1224	1806
404	1227	1803
405	1230	1800
406	1233	1797
407	1236	1794
408	1239	1791
409	1242	1788
410	1245	1785
411	1248	1782
412	1252	1779
413	1255	1776
414	1258	1773
415	1261	1770
416	1263	1767
417	1266	1763
418	1269	1760
419	1272	1757
420	1275	1754
421	1278	1751
422	1281	1748
423	1284	1745
424	1287	1741
425	1290	1738
426	1293	1735
427	1296	1732
428	1299	1729
429	1302	1727
430	1306	1724
431	1309	1721
432	1312	1718
433	1315	1715
434	1318	1712
435	1321	1709
436	1324	1706
